,Name,PlantType,Color,HardinessZones,BloomsIn,Height,SunNeeds,WaterNeeds,Maintenance
0,Achillea (Yarrow),Perennials,"Yarrow comes in a wide range of colors including white, cream, yellow, purple, orange, pink and red.",3-9,"Spring, Summer",This plant usually grows between 30 and 90 cm (1 to 3 ft) in height.,Full sun,low,low
1,Aconitum (Aconite; Monkshood; Wolfsbane),Perennials,"The flowers come in shades of blue, purple, white, yellow, or even pink.",3-8,"Autumn, Summer","Aconite is a tall plant that grows from 30 cm (1 ft) to 180 cm (6 ft) high, depending on species.","Full sun, Partial sun",avarage,medium
2,Agapanthus (African Lily; Lily of the Nile),"Bulbs, Perennials","These flowers are usually blue, white and purple.",6-11,"Autumn, Summer","Agapanthus range in height from just 20 cm (8 inches) up to 1,8 m (6 ft) for larger varieties.","Full sun, Partial sun",avarage,low
3,Ageratum (Whiteweed; Flossflower),Annuals,"The flowers come in shades of blue, purple, red, pink and white.",2-11,"Autumn, Summer",These plants can grow up to 60 cm (2 ft) in height.,"Full sun, Partial sun",avarage,low
4,Ajuga (Bugle; Bugleweed),"Annuals, Perennials","The flowers are usually blue, purple and white.",3-10,"Spring, Summer",These plants can grow up to 30 cm (1 ft) tall.,"Partial sun, Shade",avarage,low
5,Alcea (Hollyhock),"Annuals, Perennials","Hollyhock blooms in a rainbow of colors including red, purple, pink, white, yellow and even almost black.",3-9,Summer,Hollyhocks range in height from 60 cm (2 ft) to 3 metres (10 ft) tall.,Full sun,avarage,hard
6,Allium (Ornamental Onion),"Bulbs, Perennials","Most Alliums come in shades of purple, but there are pink, blue, white and yellow varieties as well.",3-10,"Spring, Summer",Alliums range in size from 15 cm (6 inches) to 180 cm (6 ft) giants.,Full sun,avarage,low
7,Alstroemeria (Peruvian lily; Lily of the Incas),"Bulbs, Perennials","The flowers come in various colors, from orange, pink, rose, purple, red to yellow and white.",5-11,"Autumn, Summer",The species range from dwarf species (20 cm or 8 inches tall) to the larger varieties that grow up to 120 cm or 4 ft in height.,"Full sun, Partial sun",avarage,low
8,Amaryllis (Amaryllis),"Bulbs, Perennials",The flower color is usually some shade of pink and sometimes even white.,7-10,"Autumn, Summer",Amaryllis has stem that can reach 30 - 90 cm (1-3 ft) in height and each flower is 6-11 cm (2-4 inches) in diameter.,"Full sun, Partial sun",avarage,low
9,Amsonia (Blue Star),Perennials,"The flowers are usually white but may be blue, pink and purple.",3-9,"Spring, Summer","These plants grow up to 120 cm (4 ft) tall, depending on the variety. There are also dwarf varieties that only reach 10 cm (4 inches) in height.","Full sun, Partial sun",avarage,low
10,Anemone (Windflower),Perennials,The flowers can be found in all colors of the rainbow.,4-11,"Spring, Autumn, Summer","Anemone can grow from 10 cm to 1,5 metres (4 inches to 5 ft) tall.","Full sun, Partial sun",avarage,low
11,Anthurium (Flamingo Flower; Laceleaf),Perennials,"These plants range in color from red to pink, purple, yellow, white and green.",10-12,"Spring, Autumn, Summer",The species can grow up to 90 cm (3 ft) in height.,"Full sun, Partial sun",avarage,low
12,Antirrhinum (Snapdragon; Dragon Flower),"Annuals, Perennials","The flowers come in a range of colors including white, red, pink, orange, yellow, green and purple. Bicolor varieties are also available.",5-10,"Spring, Autumn, Summer","Snapdragons can grow from 20 cm (8 inches) to 120 cm (4 ft) tall, depending on species.",Full sun,avarage,low
13,Aquilegia (Columbine),Perennials,"The flowers are yellow, white, blue, red, pink, purple or a combination of these shades.",3-9,"Spring, Summer",Columbine can grow up to 60 cm (2 ft) tall.,"Full sun, Partial sun",avarage,low
14,Asclepias (Milkweed),Perennials,"These flowers come in shades of red, purple, pink, orange, yellow and white.",3-9,"Autumn, Summer",The plant reaches heights of 30 cm (1 ft) to 180 cm (6 ft).,Full sun,avarage,low
15,Aster (Starwort; Frost flower),Perennials,"The flowers can be white, blue, purple, and red, mostly with yellow centers.",3-9,"Autumn, Summer",Asters are 60-180 cm (2-6 ft) tall.,"Full sun, Partial sun",avarage,medium
16,Astilbe (False Goat's Beard),Perennials,"The flowers are available in white, pink and red colors.",3-9,"Spring, Autumn, Summer",The plants range in size from 30 cm (1 ft) to 150 cm (5 ft) in height.,"Partial sun, Shade",avarage,low
17,Astrantia (Masterwort),Perennials,"The flower colors are white, pink, purple and red.",4-9,"Spring, Summer",Astrantia can grow up to 90 cm (3 ft) in height.,"Full sun, Partial sun",avarage,medium
18,Banksia (Australian Honeysuckle),"Perennials, Shrubs, Trees","Banksia flowers are yellow, creamy, orange, red, green, violet or even brown.",9-11,"Spring, Autumn, Winter, Summer","Banksias range from 25 cm (1 ft) to 30 metres (100 feet) in height, depending on the species.","Full sun, Partial sun",avarage,low
19,Baptisia (False Indigo),Perennials,"Baptisia comes in shades of blue, yellow and white, while many hybrids can be found in a wide variety of colors.",3-9,"Spring, Summer","The species range in size from 30 cm to 1,5 metres (1-5 ft) in height.",Full sun,avarage,low
20,Begonia (Begonia),"Annuals, Bulbs, Perennials","Begonias come in many different colors, but mostly in red, white, yellow, orange and pink.",2-11,"Spring, Autumn, Summer",Begonias can grow from 20 - 60 cm (8 inches to 2 ft).,"Partial sun, Shade",avarage,low
21,Bellis (Daisy),Perennials,"These flowers come in shades of white, red, pink and purple. They usually have white petals and a yellow center, but many cultivars are available in a range of colors.",3-10,"Spring, Autumn, Summer","The species are small, growing up to 20 cm (8 inches) in height.","Full sun, Partial sun",avarage,low
22,Bergenia (Elephants Ears; Winter Glow; Pigsqueak),Perennials,"Bergenia comes in shades of red, pink, purple and white.",3-9,"Spring, Winter, Summer",Members in this genus usually grow between 20 and 60 cm (8 inches to 2 ft) tall.,"Full sun, Partial sun",avarage,low
23,Borago (Borage),"Annuals, Perennials","The flowers are mostly blue in color, but can also be pink.",2-11,"Spring, Autumn, Summer","They can grow up to 2 metres (6.5 ft) in height, depending on species.","Full sun, Partial sun",avarage,low
24,Bougainvillea (Bougainvillea),"Climbers, Shrubs, Trees","Bougainvillea bracts come in shades of red, purple, yellow, pink, orange and white. The flowers are generally white.",9-11,"Spring, Autumn, Winter, Summer",Bougainvillea can grow from 60 cm to 12 metres (2 to 40 ft) tall.,Full sun,low,low
25,Bouvardia (Firecracker bush; Trumpetellia; Hummingbird flower),"Herbs, Shrubs","Bouvardia comes in shades of white, yellow, pink, orange and red.",9-11,"Spring, Autumn, Summer","The species can grow between 60 cm (2 ft) and 1,5 metres (5 ft) tall.","Full sun, Partial sun",avarage,low
